Frame,Time,Point-154250 X,Point-154250 Y,Point-154948 X,Point-154948 Y,Point-155505 X,Point-155505 Y,Point-155614 X,Point-155614 Y,Point-155746 X,Point-155746 Y,Point-160018 X,Point-160018 Y,Point-161826 X,Point-161826 Y,Point-162717 X,Point-162717 Y,Point-162918 X,Point-162918 Y,Point-164408 X,Point-164408 Y,Point-164408 X,Point-164408 Y,Point-165848 X,Point-165848 Y
27,0.9,8.4,-7.56,13.04,7.7,14.11,6.76,9.32,4.7,13.51,13.45,10.21,9.15,15.16,10.47,10.39,-5.47,10.34,-4.37,6.52,-5.94,9.93,-5.16,14.87,-3.89
28,0.933333333,8.38,-7.54,13.25,7.41,14.12,6.73,9.09,4.85,13.48,13.45,10.19,9.15,15.17,10.39,10.35,-5.47,10.3,-4.37,6.51,-5.93,9.96,-5.17,14.88,-3.89
29,0.966666667,8.36,-7.56,13.34,7.02,14.13,7.03,8.94,4.82,13.48,13.44,10.06,9.13,15.14,10.31,10.33,-5.43,10.3,-4.33,6.48,-5.91,10.04,-5.18,14.87,-3.92
30,1,8.38,-7.6,13.41,6.65,14.16,7.43,9.02,4.68,13.61,13.34,9.57,9.13,15.12,10.29,10.37,-5.48,10.32,-4.26,6.49,-5.9,10.03,-5.2,14.91,-3.93
31,1.033333333,8.41,-7.7,13.41,6.46,14.07,7.55,9.15,4.65,13.59,13.27,9.57,9.22,15.09,10.28,10.31,-5.49,10.3,-4.24,6.44,-5.9,10.03,-5.16,14.91,-3.89
32,1.066666667,8.42,-7.79,13.41,6.42,13.97,7.3,9.36,4.85,13.68,13.21,9.62,9.3,15.11,10.29,10.27,-5.48,10.26,-4.24,6.4,-5.94,10.05,-5.16,15,-3.89
33,1.1,8.47,-7.83,13.59,6.64,14.07,7.31,9.65,5.08,13.66,13.12,9.78,9.4,15.09,10.32,10.17,-5.46,10.26,-4.22,6.4,-5.88,10.08,-5.17,15.02,-3.83
34,1.133333333,8.41,-7.86,13.72,6.68,14.11,,9.92,5.24,13.66,13.13,9.68,9.22,15.03,10.32,10.08,-5.42,10.27,-4.2,6.44,-5.86,10.11,-5.11,15.05,-3.87
35,1.166666667,8.33,-7.91,13.83,6.77,13.97,6.99,10.22,5.17,13.86,13.09,9.55,9.06,15.01,10.34,10.05,-5.35,10.3,-4.15,6.47,-5.86,10.15,-5.03,15.02,-3.78
36,1.2,8.29,-7.95,13.92,6.93,14.02,6.92,10.44,5.21,14.02,12.99,9.48,8.95,15.04,10.33,10.06,-5.34,10.32,-4.13,6.49,-5.86,10.11,-5,15.05,-3.82
37,1.233333333,8.28,-7.98,14.07,7.1,14.13,6.98,10.62,5.43,14.04,12.99,9.46,8.94,15.05,10.37,10.05,-5.37,10.32,-4.11,6.44,-5.86,10.11,-5.02,15.08,-3.84
38,1.266666667,8.27,-7.96,14.21,7.31,14.21,7.1,10.78,5.61,14.04,12.98,9.86,8.39,15.08,10.34,10.03,-5.37,10.32,-4.12,6.4,-5.84,10.19,-4.99,15.11,-3.87
39,1.3,8.26,-7.9,14.36,7.45,14.17,7.16,10.85,5.49,14.03,12.97,9.85,8.28,15.07,10.28,10.02,-5.32,10.33,-4.11,6.39,-5.84,10.2,-4.95,15.03,-3.8
40,1.333333333,8.27,-7.82,14.53,7.42,13.99,7.1,10.84,5.48,14.05,13.01,9.91,8.34,15.03,10.29,10.01,-5.32,10.36,-4.09,6.43,-5.85,10.12,-4.84,14.94,-3.94
41,1.366666667,8.25,-7.72,14.73,7.38,14.09,7.31,10.67,5.42,14.08,13.04,9.94,8.16,15.07,10.3,10.02,-5.33,10.36,-4.09,6.47,-5.83,10.11,-4.79,14.94,-4.01
42,1.4,8.22,-7.6,14.85,7.47,14.14,7.29,10.43,5.43,14.04,13.07,9.99,8.15,15.05,10.32,10.04,-5.41,10.35,-4.11,6.47,-5.78,10.11,-4.85,14.88,-4.13
43,1.433333333,8.24,-7.54,14.89,7.58,14.11,7.04,10.38,5.59,14.02,13.13,9.99,8.1,15.07,10.35,10.08,-5.37,10.32,-4.14,6.48,-5.78,10.12,-4.9,14.91,-4.2
44,1.466666667,8.18,-7.55,14.9,7.64,14.2,7.12,10.42,5.45,14.07,13.09,9.9,8.03,15.04,10.36,10.04,-5.48,10.33,-4.19,6.5,-5.8,10.16,-4.91,14.9,-4.3
45,1.5,8.13,-7.6,14.84,7.5,14.13,7.08,10.48,5.3,14.06,13.1,9.94,7.99,14.98,10.35,9.98,-5.56,10.31,-4.18,6.52,-5.8,10.11,-4.95,14.86,-4.23
46,1.533333333,8.13,-7.65,14.69,7.39,14.02,6.97,10.62,5.32,14.03,13.09,10.03,8.03,15,10.39,9.99,-5.58,10.33,-4.16,6.5,-5.81,10.1,-4.91,14.89,-4.2
47,1.566666667,8.15,-7.66,14.56,7.47,14.02,6.98,10.85,5.36,14.02,13.1,10.03,8.01,14.95,10.44,10,-5.69,10.34,-4.16,6.52,-5.83,10.1,-4.89,14.84,-4.23
48,1.6,8.19,-7.63,14.67,7.61,14.1,7.03,11.1,5.53,14.04,13.11,9.98,7.97,14.92,10.44,10,-5.84,10.34,-4.17,6.51,-5.84,10.1,-4.91,14.81,-4.18
49,1.633333333,8.22,-7.55,14.76,7.74,14.2,7.09,11.21,5.71,14.04,13.09,9.97,7.96,14.96,10.34,10.03,-5.83,10.34,-4.19,6.51,-5.85,10.05,-4.96,14.77,-4.13
50,1.666666667,8.24,-7.51,14.85,7.78,14.15,7.01,11.17,5.57,14.04,13.14,10.04,7.96,14.96,10.3,10.02,-5.84,10.34,-4.18,6.5,-5.84,10.06,-4.96,14.84,-4.12
51,1.7,8.24,-7.53,14.83,7.76,14.27,7.38,10.97,5.42,13.89,13.25,10.02,8,14.94,10.37,10.02,-5.84,10.35,-4.14,6.49,-5.85,10.06,-4.94,14.86,-4.16
52,1.733333333,8.28,-7.56,14.75,7.74,14.08,6.93,10.66,5.39,13.65,13.34,9.98,8.01,14.94,10.38,10.06,-5.92,10.35,-4.11,6.51,-5.82,10.09,-4.95,14.83,-4.18
53,1.766666667,8.36,-7.58,14.67,7.83,14.15,7.07,10.45,5.52,13.42,13.42,9.99,8.03,14.96,10.43,10.13,-5.93,10.34,-4.14,6.52,-5.81,10.15,-4.97,14.88,-4.19
54,1.8,8.43,-7.62,14.67,7.87,14.19,7.24,10.25,5.56,13.15,13.48,10.03,8.02,15.05,10.48,10.17,-5.92,10.33,-4.2,6.46,-5.81,10.13,-5.03,15.02,-4.11
55,1.833333333,8.46,-7.62,14.76,7.72,14.11,7.25,10.14,5.4,12.91,13.55,10.01,7.96,15.02,10.44,10.17,-5.83,10.31,-4.23,6.41,-5.84,10.14,-5.01,15.05,-4.07
56,1.866666667,8.44,-7.6,14.84,7.52,13.98,7.11,10.19,5.25,12.84,13.5,9.97,7.93,15.01,10.42,10.17,-5.76,10.31,-4.23,6.46,-5.77,10.17,-4.93,15.08,-4.12
57,1.9,8.4,-7.55,14.89,7.4,13.98,7.03,10.16,5.16,12.87,13.41,9.98,7.97,14.97,10.44,10.1,-5.75,10.34,-4.21,6.5,-5.71,10.2,-4.87,15.07,-4.19
58,1.933333333,8.24,-7.52,14.88,7.4,14.11,7.03,10.12,5.27,12.8,13.36,10.07,8.03,14.98,10.45,10.1,-5.78,10.39,-4.19,6.57,-5.72,10.21,-4.89,15.09,-4.22
59,1.966666667,8.14,-7.49,14.78,7.39,14.24,7.14,10.16,5.46,12.68,13.41,10.02,8.06,15.03,10.5,10.02,-5.89,10.4,-4.19,6.54,-5.77,10.17,-4.98,15.1,-4.24
60,2,8.1,-7.49,14.61,7.46,14.51,7.76,10.28,5.54,12.68,13.39,9.92,7.91,15.1,10.46,10.04,-5.96,10.43,-4.18,6.45,-5.77,10.17,-5.03,15.08,-4.25
61,2.033333333,8.06,-7.54,14.6,7.52,14.13,7.29,10.35,5.53,12.8,13.36,9.99,7.9,15.07,10.38,10.06,-6,10.5,-4.2,6.4,-5.79,10.14,-4.97,15.05,-4.3
62,2.066666667,7.98,-7.59,14.63,7.5,14.16,7.58,10.48,5.58,12.75,13.37,10.12,7.95,15.07,10.33,10.04,-6.03,10.56,-4.22,6.45,-5.76,10.15,-4.92,15.05,-4.32
63,2.1,7.86,-7.57,14.63,7.41,,,10.69,5.54,12.5,13.56,10.14,8.04,15.07,10.33,10.09,-6.09,10.62,-4.26,6.5,-5.72,10.11,-4.94,15.06,-4.31
64,2.133333333,7.8,-7.57,14.56,7.28,,,10.93,5.49,12.31,13.54,10.08,8.08,15.07,10.38,10.09,-6.13,10.66,-4.31,6.47,-5.73,10.03,-4.95,15.07,-4.28
65,2.166666667,7.83,-7.57,14.57,7.24,14.27,7.51,11.09,5.52,12.19,13.44,9.57,8.19,14.98,10.36,10.08,-6.12,10.66,-4.36,6.43,-5.72,9.98,-4.97,15.08,-4.14
66,2.2,7.9,-7.56,14.75,7.31,14.2,7.19,10.95,5.57,12.26,13.43,9.81,7.85,14.96,10.35,10.14,-6.11,10.67,-4.41,6.42,-5.71,10.06,-4.91,15.04,-4.05
67,2.233333333,7.95,-7.6,14.96,7.37,14.19,7.23,10.73,5.42,12.25,13.3,9.98,7.82,14.97,10.32,10.16,-6.03,10.7,-4.42,6.47,-5.68,10.1,-4.83,15.03,-3.99
68,2.266666667,7.95,-7.57,15.09,7.47,14.12,7.24,10.6,5.2,12.42,13.22,10.14,7.86,14.94,10.4,10.2,-5.95,10.76,-4.4,6.51,-5.71,10.11,-4.77,15.05,-3.94
69,2.3,7.91,-7.51,15.13,7.51,14.02,7.21,10.47,5.22,12.6,13.19,10.22,7.97,14.95,10.45,10.26,-5.93,10.81,-4.41,6.53,-5.72,10.06,-4.77,15.1,-3.91
70,2.333333333,7.93,-7.46,15.32,7.43,13.95,7.08,10.31,5.36,12.67,13.1,10.1,8.09,14.99,10.43,10.11,-5.86,10.82,-4.44,6.45,-5.74,10.06,-4.8,15.09,-3.99
71,2.366666667,7.97,-7.48,15.47,7.34,14.02,7.15,10.15,5.54,12.71,13.1,9.94,8.18,15.04,10.45,10.01,-5.83,10.8,-4.46,6.41,-5.76,10.1,-4.87,15.05,-3.97
72,2.4,7.98,-7.49,15.57,7.26,14.09,7.26,9.9,5.69,12.68,13.23,9.71,8.22,15.07,10.44,9.98,-5.85,10.77,-4.51,6.41,-5.74,10.11,-4.91,14.99,-3.91
73,2.433333333,7.93,-7.49,15.64,7.21,14.79,7.87,9.84,5.78,12.59,13.43,9.62,8.28,15.03,10.52,10,-5.91,10.75,-4.51,6.46,-5.73,10.06,-4.93,14.92,-3.97
74,2.466666667,7.86,-7.49,15.73,7.11,14.19,7.41,9.91,5.86,12.54,13.7,9.61,8.34,15.03,10.5,10.03,-5.98,10.73,-4.53,6.48,-5.76,10.03,-4.97,15.01,-3.93
75,2.5,7.83,-7.5,16.07,6.98,14.31,7.69,9.79,5.86,12.64,13.93,9.27,8.55,14.99,10.53,10.06,-6.06,10.71,-4.56,6.41,-5.79,10.02,-4.91,15.01,-3.91
76,2.533333333,7.86,-7.51,16.52,6.96,14.78,7.86,9.73,5.93,12.69,14.14,9.27,8.56,14.94,10.51,10.13,-6.14,10.69,-4.57,6.38,-5.76,9.99,-4.85,15.03,-3.91
77,2.566666667,7.86,-7.57,16.93,6.98,14,7.08,9.68,5.95,12.73,14.24,9.33,8.58,14.95,10.49,10.21,-6.21,10.68,-4.56,6.42,-5.78,9.95,-4.77,15.05,-3.93
78,2.6,7.86,-7.59,17.3,6.99,14,7.08,9.75,5.88,12.75,14.27,9.74,8.28,14.95,10.57,10.17,-6.26,10.67,-4.57,6.46,-5.77,9.91,-4.75,15.05,-3.87
79,2.633333333,7.89,-7.56,17.58,7.05,14.49,7.23,9.75,5.68,12.74,14.34,9.85,8.16,14.94,10.5,10.12,-6.28,10.68,-4.57,6.5,-5.79,9.91,-4.74,15,-3.91
80,2.666666667,7.94,-7.56,17.66,7.21,14.04,7.06,9.73,5.55,12.79,14.32,9.98,8.06,14.92,10.49,10.1,-6.3,10.69,-4.56,6.52,-5.74,9.87,-4.71,15.04,-3.9
81,2.7,7.97,-7.53,17.49,7.27,14.05,7.04,9.68,5.6,12.75,14.29,10.06,7.96,14.98,10.49,10.1,-6.34,10.7,-4.56,6.48,-5.77,9.88,-4.66,14.97,-3.89
82,2.733333333,8.11,-7.49,16.99,7.25,14.13,6.63,9.62,5.51,12.78,14.32,10.01,7.93,15.02,10.49,10.19,-6.48,10.71,-4.57,6.5,-5.74,9.96,-4.57,15.07,-3.92
83,2.766666667,8.26,-7.44,16.48,7.43,14.17,6.51,9.6,5.42,12.8,14.32,9.98,7.95,14.96,10.5,10.25,-6.51,10.72,-4.57,6.52,-5.7,9.99,-4.62,15.03,-3.87
84,2.8,8.32,-7.48,16,7.64,14.31,6.76,9.37,5.38,12.77,14.28,10.01,8.02,14.99,10.61,10.38,-6.48,10.74,-4.57,6.53,-5.7,9.91,-4.67,15.09,-3.84
85,2.833333333,8.34,-7.58,16.17,7.93,14.85,7.86,9.27,5.46,12.73,14.37,10.06,8.05,15.01,10.57,10.4,-6.43,10.77,-4.57,6.54,-5.66,9.88,-4.67,15.1,-3.87
86,2.866666667,8.21,-7.83,15.96,8.04,14.18,6.72,9.12,5.39,12.62,14.46,10.07,7.95,15.14,10.51,10.34,-6.39,10.79,-4.55,6.57,-5.66,9.88,-4.68,15.01,-3.87
