Frame,Time,Point-154250 X,Point-154250 Y,Point-154948 X,Point-154948 Y,Point-155505 X,Point-155505 Y,Point-155614 X,Point-155614 Y,Point-155746 X,Point-155746 Y,Point-160018 X,Point-160018 Y,Point-161826 X,Point-161826 Y,Point-162717 X,Point-162717 Y,Point-162918 X,Point-162918 Y,Point-164408 X,Point-164408 Y,Point-164408 X,Point-164408 Y,Point-165848 X,Point-165848 Y
112,3.733333333,8.12,-8.16,12.65,8.93,14.18,7,10.19,5.22,13.21,11.44,9.94,8.17,15.17,10.53,10.5,-6.73,10.47,-4.51,6.6,-5.79,9.84,-4.67,14.87,-4.92
113,3.766666667,8.12,-8.13,12.59,9.05,14.21,7.07,10.32,5.42,13.04,11.49,10.07,8.25,15.15,10.55,10.54,-6.84,10.47,-4.5,6.62,-5.84,9.83,-4.67,14.9,-5
114,3.8,8.13,-8.1,12.53,9.04,14.03,7.01,10.42,5.73,12.96,11.49,10.08,8.29,15.16,10.52,10.59,-6.86,10.46,-4.48,6.61,-5.85,9.86,-4.67,14.81,-4.77
115,3.833333333,8.16,-8.06,12.48,9.01,13.95,6.88,10.44,5.94,12.93,11.36,10.09,8.27,15.18,10.58,10.5,-6.82,10.5,-4.41,6.59,-5.78,9.84,-4.67,14.83,-4.73
116,3.866666667,8.19,-8.02,12.47,8.98,14.05,6.86,10.45,6.02,13.02,11.22,10,8.08,15.2,10.55,10.53,-6.8,10.55,-4.36,6.59,-5.69,9.78,-4.71,14.86,-4.78
117,3.9,8.2,-8.03,12.46,8.95,14.18,7.02,10.2,6.08,13.06,11.24,9.9,7.86,15.17,10.53,10.53,-6.79,10.61,-4.31,6.57,-5.67,9.78,-4.69,14.89,-4.82
118,3.933333333,8.2,-8.02,12.48,8.94,14.12,7.21,10.24,6.17,13.01,11.22,9.94,7.72,15.15,10.45,10.61,-6.81,10.66,-4.33,6.51,-5.71,9.78,-4.67,14.89,-4.84
119,3.966666667,8.18,-8.03,12.5,8.92,14.08,7.28,10.15,6.07,13.07,11.23,9.97,7.61,15.09,10.43,10.7,-6.85,10.67,-4.37,6.48,-5.77,9.86,-4.61,14.88,-4.93
120,4,8.18,-8.02,12.52,8.9,14.1,7.21,9.98,5.65,13.11,11.32,9.97,7.57,15.12,10.49,10.7,-6.81,10.73,-4.43,6.56,-5.79,9.85,-4.6,14.72,-4.91
121,4.033333333,8.15,-8.02,12.52,8.86,14.16,6.91,9.76,5.43,12.92,11.45,9.92,7.56,15.22,10.48,10.68,-6.72,10.82,-4.49,6.55,-5.68,9.77,-4.61,14.59,-4.91
122,4.066666667,8.12,-8.05,12.54,8.83,14.11,6.73,9.69,5.33,12.66,11.56,9.84,7.6,15.11,10.47,10.61,-6.66,10.92,-4.54,6.55,-5.68,9.73,-4.63,14.48,-4.93
123,4.1,8.14,-8.09,12.54,8.8,14.09,6.74,9.81,5.27,12.45,11.82,9.85,7.62,15.01,10.46,10.6,-6.62,11,-4.57,6.58,-5.69,9.73,-4.68,14.5,-4.93
124,4.133333333,8.18,-8.19,12.56,8.79,14.14,6.9,9.69,5.48,12.39,11.94,9.92,7.58,15,10.42,10.51,-6.57,11.07,-4.59,6.55,-5.71,9.72,-4.71,14.55,-5
125,4.166666667,8.22,-8.24,12.57,8.79,14.16,7.11,9.8,5.46,12.34,12.06,9.98,7.57,15.07,10.48,10.53,-6.51,11.13,-4.59,6.5,-5.71,9.68,-4.71,14.45,-4.96
126,4.2,8.27,-8.24,12.57,8.77,14.17,7.1,9.96,5.5,12.31,12.12,9.99,7.62,15.12,10.51,10.56,-6.47,11.17,-4.59,6.45,-5.69,9.76,-4.71,14.28,-4.92
127,4.233333333,8.28,-8.23,12.56,8.74,14.11,6.87,10.47,5.18,12.33,12.22,10.03,7.71,15.12,10.53,10.58,-6.46,11.2,-4.57,6.46,-5.67,9.77,-4.71,14.31,-5.03
128,4.266666667,8.31,-8.19,12.55,8.75,14,6.62,10.06,5.72,12.28,12.31,10.04,7.85,15.11,10.51,10.59,-6.43,11.23,-4.54,6.46,-5.64,9.73,-4.71,14.29,-4.97
129,4.3,8.3,-8.22,12.55,8.76,13.99,6.42,9.88,5.71,12.27,12.26,10.13,8.05,15.09,10.5,10.55,-6.41,11.21,-4.51,6.45,-5.66,9.72,-4.76,14.3,-4.95
130,4.333333333,8.32,-8.22,12.55,8.78,13.99,6.25,9.93,5.62,12.33,12.18,10.24,8.2,14.98,10.5,10.61,-6.37,11.16,-4.45,6.45,-5.7,9.69,-4.78,14.34,-5.01
131,4.366666667,8.41,-8.16,12.53,8.76,13.98,6.25,10.1,5.48,12.45,12.18,10.35,8.25,15.02,10.53,10.71,-6.46,11.13,-4.39,6.43,-5.68,9.73,-4.74,14.44,-5.19
132,4.4,8.51,-8.09,12.52,8.76,13.98,6.32,10.1,5.69,12.52,12.01,10.28,8.19,15.05,10.51,10.67,-6.58,11.07,-4.34,6.46,-5.65,9.8,-4.75,14.52,-5.37
133,4.433333333,8.59,-8.08,12.51,8.76,14.33,6.73,9.96,5.66,12.5,11.75,10.24,8.02,15.02,10.56,10.68,-6.62,11.05,-4.29,6.47,-5.63,9.81,-4.75,14.49,-5.45
134,4.466666667,8.52,-8.11,12.51,8.77,14.04,6.02,9.99,5.73,12.41,11.61,10.06,7.91,14.99,10.54,10.73,-6.68,11.01,-4.23,6.5,-5.65,9.76,-4.79,14.46,-5.37
135,4.5,8.44,-8.12,12.52,8.76,14.13,5.86,10.06,5.78,12.26,11.57,9.89,7.8,15.01,10.55,10.74,-6.73,10.98,-4.18,6.49,-5.67,9.75,-4.79,14.52,-5.33
136,4.533333333,8.36,-8.09,12.52,8.76,14.2,5.97,10.04,5.84,12.15,11.68,9.86,7.73,15.06,10.57,10.76,-6.73,10.97,-4.15,6.45,-5.7,9.8,-4.72,14.5,-5.27
137,4.566666667,8.27,-8.09,12.5,8.76,14.06,6.13,9.9,6.01,12.06,11.84,9.94,7.62,15.07,10.62,10.79,-6.72,10.97,-4.14,6.44,-5.65,9.84,-4.72,14.47,-5.34
138,4.6,8.2,-8.09,12.48,8.76,13.82,6.19,9.59,5.81,11.97,11.75,10.11,7.53,15.09,10.61,10.78,-6.71,10.96,-4.15,6.5,-5.6,9.84,-4.71,14.44,-5.34
139,4.633333333,8.25,-8.09,12.44,8.73,13.79,6.68,9.34,5.43,12.05,11.71,10.31,7.61,15.15,10.66,10.7,-6.68,10.95,-4.15,6.54,-5.64,9.81,-4.67,14.46,-5.27
140,4.666666667,8.32,-8.1,12.45,8.72,13.64,6.53,9.11,5.1,12.08,11.72,10.45,7.78,15.05,10.65,10.67,-6.64,10.93,-4.17,6.49,-5.64,9.88,-4.59,14.5,-5.18
141,4.7,8.36,-8.09,12.44,8.7,13.45,5.93,8.92,4.9,12.09,11.72,10.39,8.04,15.07,10.66,10.72,-6.62,10.91,-4.2,6.45,-5.68,9.94,-4.56,14.63,-5.15
142,4.733333333,8.33,-8.09,12.44,8.68,13.61,6.95,8.85,4.78,12.09,11.74,10.25,8.34,15.09,10.63,10.72,-6.66,10.88,-4.24,6.4,-5.64,10.02,-4.53,14.72,-5.05
143,4.766666667,8.3,-8.07,12.42,8.63,13.71,7.18,8.84,4.74,12.03,11.71,10.11,8.66,15.11,10.63,10.74,-6.67,10.86,-4.28,6.45,-5.61,10.02,-4.51,14.81,-4.89
144,4.8,8.28,-8.07,12.41,8.58,13.65,7,8.81,4.59,11.95,11.68,9.46,9.38,15.12,10.6,10.72,-6.66,10.84,-4.3,6.49,-5.56,9.92,-4.56,14.83,-4.97
145,4.833333333,8.24,-8.04,12.42,8.58,13.61,6.92,8.74,4.82,11.98,11.71,9.34,9.71,15.11,10.58,10.66,-6.52,10.84,-4.31,6.46,-5.56,9.86,-4.56,14.81,-4.92
146,4.866666667,8.14,-7.98,12.44,8.58,13.56,6.98,8.76,5.01,12.05,11.73,9.76,9.75,15.07,10.59,10.58,-6.46,10.85,-4.31,6.42,-5.61,9.88,-4.61,14.82,-4.9
147,4.9,7.94,-8,12.46,8.64,13.54,7.02,8.86,5.19,12.05,11.72,,,15.08,10.6,10.58,-6.45,10.84,-4.3,6.4,-5.67,9.9,-4.59,14.71,-4.84
148,4.933333333,7.71,-8.03,12.36,8.7,13.67,7.08,9.02,5.23,12.07,11.74,9.16,10.38,15.09,10.55,10.67,-6.45,10.86,-4.26,6.4,-5.67,9.87,-4.6,14.83,-4.77
149,4.966666667,7.86,-7.91,12.29,8.75,13.8,7.08,9.11,5.14,11.98,11.82,8.81,10.67,15.11,10.57,10.67,-6.56,10.88,-4.21,6.45,-5.67,9.79,-4.57,14.95,-4.81
150,5,7.71,-8.04,12.71,8.57,13.9,7.03,9.17,5.26,11.95,11.74,8.55,10.89,15.11,10.61,10.64,-6.7,10.9,-4.15,6.46,-5.68,9.8,-4.56,15.01,-4.79
151,5.033333333,7.62,-8.19,12.25,8.88,14.05,7.09,9.17,5.26,12.02,11.55,8.21,11.11,15.06,10.59,10.6,-6.75,10.93,-4.11,6.46,-5.72,9.79,-4.53,15.07,-4.72
152,5.066666667,7.78,-7.96,12.77,8.54,14.27,7.32,9.24,5.29,12.12,11.56,7.91,11.3,15.14,10.53,10.53,-6.79,10.97,-4.11,6.53,-5.77,9.77,-4.52,15.09,-4.66
153,5.1,7.77,-7.96,12.85,8.56,14.49,7.79,9.49,5.5,12.08,11.7,7.76,,15.22,10.48,10.39,-6.9,11.02,-4.13,6.58,-5.81,9.76,-4.56,15.14,-4.5
154,5.133333333,7.71,-8.13,12.44,8.75,14,7.09,9.77,5.57,12.08,11.76,7.39,11.93,15.19,10.48,10.37,-6.92,11.06,-4.16,6.52,-5.89,9.7,-4.52,15.14,-4.43
155,5.166666667,7.85,-8.16,12.52,8.7,14.24,7.6,10.05,5.63,12.12,11.65,7.11,12.16,15.15,10.49,10.39,-6.97,11.1,-4.2,6.45,-5.95,9.69,-4.52,15.21,-4.46
156,5.2,7.81,-8.27,12.59,8.64,14.22,7.39,10.23,5.35,12.11,11.61,6.86,12.37,15.13,10.47,10.5,-6.98,11.1,-4.24,6.38,-6.01,9.69,-4.48,15.25,-4.47
157,5.233333333,8.16,-8.4,12.67,8.59,14.46,7.71,10.37,5.22,12.08,11.59,6.61,12.56,15.13,10.45,10.46,-7.01,11.12,-4.27,6.39,-6.06,9.68,-4.53,15.23,-4.51
158,5.266666667,8.13,-7.96,12.68,8.52,14.29,7.19,10.51,5.31,12.07,11.62,6.36,12.82,15.13,10.44,10.43,-7.02,11.14,-4.28,6.42,-6.15,9.62,-4.53,15.29,-4.6
159,5.3,8.36,-8.28,12.64,8.39,14.38,7.48,10.53,5.34,12.08,11.61,6.1,12.98,15.12,10.45,10.46,-7.07,11.16,-4.27,6.45,-6.11,9.64,-4.48,15.38,-4.63
160,5.333333333,8.29,-8.24,12.72,8.26,14.1,7.14,10.49,5.45,12.09,11.6,5.98,13,15.11,10.48,10.5,-7.07,11.17,-4.24,6.44,-6.02,9.72,-4.46,15.38,-4.6
161,5.366666667,8.19,-8.14,12.94,8.16,14.29,7.76,10.23,5.45,12.11,11.59,6.17,12.87,15.11,10.5,10.58,-7.04,11.17,-4.2,6.46,-5.95,9.79,-4.49,15.31,-4.66
162,5.4,8.13,-8.14,13.17,8.1,14.29,,9.9,5.45,12.04,11.6,6.3,12.73,15.11,10.51,10.64,-7.03,11.17,-4.16,6.55,-5.8,9.79,-4.53,15.35,-4.74
163,5.433333333,8.14,-8.16,13.31,7.98,14.37,,9.72,5.59,12.1,11.63,6.43,12.64,15.17,10.51,10.68,-6.98,11.18,-4.17,6.63,-5.67,9.73,-4.49,15.37,-4.71
164,5.466666667,8.15,-8.17,13.4,7.81,14.27,7.11,9.68,5.53,12.1,11.63,6.61,12.7,15.16,10.5,10.76,-6.95,11.19,-4.18,6.67,-5.52,9.76,-4.49,15.42,-4.65
165,5.5,8.02,-8.2,13.48,7.71,14.3,7.02,9.87,5.46,12.05,11.62,7.22,12.82,15.1,10.49,10.82,-6.93,11.21,-4.2,6.56,-5.59,9.8,-4.45,15.5,-4.63
166,5.533333333,8.06,-8.23,13.56,7.73,14.23,7.06,9.71,5.58,12.05,11.59,7.37,12.86,15.11,10.44,10.89,-6.88,11.24,-4.22,6.49,-5.7,9.73,-4.42,15.51,-4.5
167,5.566666667,8.05,-8.23,13.55,7.59,14.04,7.17,9.75,5.61,12.16,11.6,7.22,12.69,15.03,10.46,10.89,-6.82,11.24,-4.25,6.5,-5.82,9.69,-4.42,15.45,-4.39
168,5.6,8.06,-8.24,13.48,7.38,14,7.24,9.64,5.52,12.11,11.64,7.41,12.5,14.94,10.53,10.87,-6.77,11.14,-4.25,6.54,-5.9,9.73,-4.45,15.45,-4.33
169,5.633333333,8.04,-8.21,13.49,7.09,13.98,6.95,9.61,5.53,12.08,11.64,7.62,12.34,14.9,10.57,10.89,-6.77,11.05,-4.25,6.53,-5.9,9.76,-4.48,15.39,-4.24
170,5.666666667,7.83,-8.01,13.58,6.79,13.86,6.37,9.54,5.49,12.05,11.6,7.8,12.33,14.86,10.59,10.88,-6.8,10.95,-4.24,6.41,-5.86,9.79,-4.46,15.45,-4.2
171,5.7,8.03,-8.29,13.68,6.59,14.26,7.08,9.5,5.58,11.97,11.59,8.14,12.52,14.83,10.66,10.9,-6.84,10.89,-4.25,6.43,-5.72,9.76,-4.49,15.51,-4.2
172,5.733333333,7.98,-8.37,13.8,6.45,14.16,7.11,9.37,5.57,11.87,11.52,8.12,12.46,14.87,10.64,10.84,-6.88,10.83,-4.26,6.54,-5.6,9.76,-4.46,15.46,-4.2
173,5.766666667,7.78,-8.44,13.93,6.39,14.17,7.21,9.32,5.51,11.84,11.49,8.05,12.61,14.8,10.67,10.8,-6.9,10.78,-4.27,6.68,-5.45,9.76,-4.42,15.46,-4.14
174,5.8,7.68,-8.4,14,6.45,14.17,7.25,9.28,5.45,11.91,11.31,7.9,12.77,14.81,10.64,10.77,-6.91,10.74,-4.31,6.69,-5.44,9.81,-4.49,15.45,-4.22
175,5.833333333,7.71,-8.3,13.93,6.5,14.17,7.16,9.45,5.4,12.05,11.48,7.9,12.93,14.74,10.64,10.78,-6.88,10.7,-4.35,6.59,-5.56,9.91,-4.48,15.45,-4.22
176,5.866666667,7.86,-8.19,13.8,6.39,14.23,7,9.64,5.33,12.19,11.67,8.05,13.05,14.73,10.61,10.78,-6.84,10.69,-4.38,6.55,-5.64,9.91,-4.48,15.53,-4.16
177,5.9,8.02,-8.18,13.67,6.22,14.22,6.94,9.7,5.28,12.27,11.83,8.52,13.17,14.71,10.55,10.73,-6.82,10.67,-4.36,6.6,-5.64,9.91,-4.48,15.53,-4.17
178,5.933333333,8.22,-8.02,13.6,6.01,14.46,6.73,9.61,5.25,12.3,11.98,8.61,13.07,14.67,10.57,10.7,-6.75,10.68,-4.34,6.67,-5.54,9.88,-4.42,15.59,-4.19
179,5.966666667,8.23,-8,13.6,5.83,14.17,6.2,9.4,5.38,12.21,12.14,8.57,13.06,14.75,10.6,10.53,-6.66,10.67,-4.32,6.73,-5.41,9.82,-4.42,15.56,-4.37
180,6,8,-7.96,13.75,5.72,14.83,4.8,9.27,5.35,12,12.3,8.73,12.45,14.79,10.62,10.41,-6.64,10.69,-4.3,6.69,-5.4,9.81,-4.41,15.58,-4.49
181,6.033333333,8.14,-7.91,13.99,5.76,14.13,7.51,9.29,5.37,11.9,12.56,8.44,12.57,14.8,10.59,10.38,-6.67,10.71,-4.27,6.67,-5.4,9.84,-4.45,15.58,-4.64
182,6.066666667,8.19,-7.82,14.28,6.01,14.1,7.43,9.52,5.47,11.83,12.72,8.73,13.3,14.84,10.61,10.39,-6.66,10.73,-4.25,6.64,-5.45,9.92,-4.49,15.59,-4.6
183,6.1,8.12,-7.54,14.5,6.37,14.13,7.06,9.57,5.43,11.71,12.77,9.31,11.05,14.91,10.66,10.41,-6.69,10.76,-4.23,6.71,-5.5,9.99,-4.52,15.58,-4.45
184,6.133333333,8,-7.34,14.56,6.64,14.26,6.98,9.65,5.55,11.71,12.66,9.23,11.53,14.9,10.62,10.42,-6.75,10.77,-4.21,6.7,-5.46,10,-4.49,15.73,-4.38
185,6.166666667,8.17,-7.42,14.53,6.91,14.3,6.9,9.56,5.5,11.91,12.7,8.75,10.45,14.92,10.66,10.49,-6.76,10.77,-4.21,6.69,-5.4,10.02,-4.45,15.7,-4.27
186,6.2,8.1,-7.39,14.43,7.12,14.28,6.96,9.48,5.4,11.95,12.59,8.37,9.9,14.92,10.67,10.47,-6.75,10.77,-4.2,6.65,-5.37,10.03,-4.41,15.76,-4.28
187,6.233333333,8.2,-7.4,14.34,7.15,14.51,7.43,9.43,5.19,11.82,12.47,8.32,9.51,14.93,10.66,10.53,-6.68,10.79,-4.22,6.66,-5.47,10.02,-4.34,15.85,-4.26
188,6.266666667,7.99,-7.2,14.23,6.98,14.52,7.61,9.64,5.16,11.68,12.43,7.63,9.01,14.94,10.59,10.57,-6.6,10.8,-4.23,6.62,-5.48,9.99,-4.38,15.92,-4.33
189,6.3,8.24,-7.35,14.13,6.89,14.55,7.64,9.14,5.06,11.54,12.56,7.6,,14.95,10.52,10.6,-6.55,10.79,-4.24,6.57,-5.52,9.99,-4.37,15.93,-4.37
190,6.333333333,8.37,-7.42,13.99,6.83,14.88,8.18,9.06,4.83,11.36,12.66,7.49,,14.92,10.51,10.7,-6.53,10.77,-4.24,6.58,-5.43,10.02,-4.31,15.91,-4.25
191,6.366666667,8.38,-7.57,13.93,7.02,14.79,7.94,9.05,4.89,11.1,12.53,11.44,9.19,15.01,10.47,10.85,-6.54,10.75,-4.26,6.59,-5.34,10.02,-4.31,15.8,-4.31
192,6.4,8.38,-7.58,13.93,6.94,14.84,7.83,9.28,4.9,10.96,12.21,12.03,9.2,15.01,10.41,10.91,-6.51,10.72,-4.27,6.69,-5.34,10.07,-4.31,15.81,-4.33
193,6.433333333,8.32,-7.57,13.99,6.87,14.48,7.23,9.49,5.13,10.99,12.02,12.28,9.08,14.98,10.45,10.94,-6.49,10.73,-4.26,6.72,-5.45,10.1,-4.34,15.86,-4.31
194,6.466666667,8.28,-7.57,14.09,6.99,14.44,7.23,9.66,5.29,11.13,12.01,12.47,8.93,14.96,10.43,10.94,-6.54,10.75,-4.26,6.66,-5.54,10.1,-4.33,15.9,-4.28
195,6.5,8.28,-7.55,13.95,7.11,14.86,7.88,9.68,5.47,11.18,12.15,12.65,8.75,14.96,10.52,10.95,-6.55,10.77,-4.25,6.65,-5.5,10.09,-4.27,15.94,-4.22
196,6.533333333,8.29,-7.58,13.82,7.07,14.21,7.28,9.54,5.4,11.19,12.39,12.78,8.61,14.97,10.59,10.94,-6.58,10.8,-4.23,6.69,-5.38,10.06,-4.2,15.99,-4.17
197,6.566666667,8.36,-7.52,13.64,6.73,14.2,7.48,9.44,5.25,11.2,12.51,12.93,8.49,14.92,10.59,10.91,-6.57,10.81,-4.23,6.75,-5.35,9.99,-4.18,15.99,-4.15
198,6.6,8.41,-7.6,13.53,6.75,14.14,7.49,9.38,5.02,11.15,12.42,13.19,8.63,14.97,10.59,10.97,-6.58,10.85,-4.24,6.71,-5.35,10.06,-4.18,15.94,-4.18
199,6.633333333,8.39,-7.63,13.26,6.75,14.11,7.44,9.19,4.87,11.12,12.19,13.38,8.7,14.92,10.59,11.04,-6.57,10.88,-4.25,6.64,-5.48,10.13,-4.19,15.98,-4.2
200,6.666666667,8.39,-7.52,13.11,6.82,14.37,7.59,9.02,4.72,11.07,11.98,13.48,8.61,14.91,10.58,11,-6.51,10.9,-4.27,6.65,-5.47,10.13,-4.15,15.94,-4.16
201,6.7,8.54,-7.38,12.9,6.89,14.48,7.4,8.99,4.62,10.93,11.86,13.44,8.41,14.97,10.5,10.99,-6.49,10.9,-4.3,6.72,-5.43,10.12,-4.16,15.98,-4.2
202,6.733333333,8.56,-7.05,12.77,6.95,,,8.91,4.36,10.72,11.67,13.57,8.31,14.9,10.46,10.89,-6.48,10.8,-4.32,6.79,-5.34,10.08,-4.19,15.99,-4.25
203,6.766666667,8.43,-6.87,12.75,7,13.61,,8.85,4.51,10.66,11.63,13.32,8.48,14.88,10.44,10.81,-6.47,10.73,-4.35,6.78,-5.33,10.07,-4.22,15.94,-4.2
204,6.8,8.45,-6.86,12.86,7.15,14.06,6.94,8.9,4.36,10.58,11.79,13.39,8.56,14.85,10.43,10.79,-6.43,10.71,-4.38,6.72,-5.43,10.12,-4.27,15.93,-4.09
205,6.833333333,8.52,-6.85,13.13,7.24,14.08,6.97,9.09,4.4,10.58,11.86,13.68,8.41,14.81,10.47,10.76,-6.46,10.69,-4.39,6.64,-5.48,10.12,-4.27,16.03,-4
206,6.866666667,8.63,-6.94,13.43,7.32,14.31,7.16,9.17,4.49,10.63,12.01,13.77,8.54,14.78,10.51,10.7,-6.53,10.67,-4.37,6.66,-5.41,10.1,-4.23,16.09,-3.95
207,6.9,8.18,-7.21,13.7,7.33,14.4,7.21,9.09,4.82,10.81,12.11,13.86,8.62,14.76,10.47,10.63,-6.64,10.65,-4.35,6.7,-5.38,10.08,-4.16,16.06,-3.83
208,6.933333333,,,13.86,7.15,14.38,7.14,8.97,4.84,10.96,12.26,13.92,8.67,14.8,10.43,10.59,-6.75,10.66,-4.34,6.76,-5.38,10.08,-4.18,15.97,-3.84
209,6.966666667,7.84,-7.03,13.87,6.9,14.25,7.04,8.89,4.85,11.25,12.37,13.97,8.72,14.83,10.35,10.62,-6.77,10.7,-4.32,6.74,-5.46,10.14,-4.16,15.94,-3.76
210,7,7.72,-6.91,13.77,6.71,14.07,7.01,8.69,4.91,11.39,12.54,13.99,8.69,14.84,10.5,10.62,-6.67,10.71,-4.3,6.71,-5.52,10.11,-4.19,15.9,-3.88
211,7.033333333,7.73,-7.02,13.65,6.44,13.87,7.03,8.56,4.85,11.49,12.55,14.09,8.76,14.87,10.6,10.61,-6.57,10.71,-4.3,6.74,-5.49,10.11,-4.19,15.88,-3.95
212,7.066666667,7.76,-6.86,13.49,6.11,13.95,7.09,8.57,4.86,11.49,12.45,14.05,8.59,14.9,10.47,10.68,-6.45,10.7,-4.31,6.77,-5.42,10.1,-4.22,15.85,-3.88
213,7.1,8.36,-7.25,13.33,5.96,14.57,7.82,8.55,4.86,11.19,12.35,14.1,8.67,14.8,10.44,10.79,-6.31,10.71,-4.36,6.75,-5.46,10.09,-4.26,15.82,-3.85
214,7.133333333,8.02,-7.76,13.15,5.84,14.22,7,8.59,5.03,10.85,12.24,14.14,8.76,14.83,10.41,10.77,-6.33,10.74,-4.4,6.68,-5.51,10.09,-4.22,15.87,-3.91
215,7.166666667,8.51,-7.77,12.97,5.88,14.42,7.02,8.65,4.76,10.75,12.17,14.09,8.76,14.84,10.35,10.8,-6.26,10.78,-4.41,6.7,-5.55,10.13,-4.18,15.85,-3.81
216,7.2,8.62,-8.55,12.81,5.97,14.42,7.07,8.59,4.71,10.57,12.24,14.04,8.62,14.82,10.3,10.78,-6.19,10.83,-4.41,6.72,-5.52,10.13,-4.19,15.87,-3.8
217,7.233333333,8.89,-8.74,12.84,5.92,14.33,7.11,8.63,4.75,10.45,12.06,14.11,8.57,14.84,10.29,10.77,-6.14,10.92,-4.42,6.72,-5.5,10.17,-4.15,15.82,-3.8
218,7.266666667,9.12,-8.66,,,14.11,7.04,8.55,4.94,10.51,11.8,14.18,8.65,14.92,10.3,10.74,-6.11,10.95,-4.39,6.68,-5.46,10.21,-4.19,15.66,-3.83
219,7.3,9.15,-8.71,12.86,5.64,13.98,6.9,8.68,4.95,10.54,11.63,14.09,8.62,14.92,10.23,10.7,-6.1,10.96,-4.38,6.62,-5.47,10.25,-4.19,15.58,-3.92
220,7.333333333,9.06,-8.86,12.64,5.65,13.94,6.9,8.95,4.7,10.59,11.52,13.98,8.65,14.94,10.15,10.77,-6.17,10.92,-4.37,6.67,-5.52,10.21,-4.16,15.6,-3.92
221,7.366666667,9.04,-8.74,12.48,5.75,14,6.91,9.15,4.52,10.58,11.31,13.92,8.63,14.93,10.16,10.75,-6.17,10.87,-4.37,6.8,-5.55,10.14,-4.12,15.59,-3.94
222,7.4,9.04,-8.73,12.4,5.89,14.16,6.99,9.39,4.5,10.57,11.27,13.94,8.54,14.96,10.21,10.8,-6.12,10.85,-4.36,6.78,-5.48,10.1,-4.12,15.55,-3.92
223,7.433333333,9.15,-8.7,,,14.31,7.09,9.53,4.41,10.66,11.42,13.96,8.49,14.94,10.17,10.87,-6.18,10.83,-4.39,6.79,-5.49,10.02,-4.12,15.58,-3.92
224,7.466666667,8.84,-8.64,,,14.38,7.15,9.61,4.44,10.69,11.52,13.96,8.58,14.86,10.12,10.82,-6.32,10.83,-4.43,6.76,-5.51,9.98,-4.06,15.7,-3.88
225,7.5,8.8,-8.67,13.06,6.1,14.33,7.06,9.61,4.56,10.71,11.52,13.96,8.7,14.91,10.21,10.82,-6.49,10.82,-4.47,6.77,-5.49,9.99,-3.99,15.74,-3.84
226,7.533333333,9.11,-8.83,13.13,6.21,14.23,6.95,9.72,4.93,10.54,11.52,14.05,8.75,14.96,10.17,10.85,-6.57,10.84,-4.47,6.77,-5.52,9.98,-3.98,15.8,-3.58
227,7.566666667,9.04,-8.76,13.27,6.23,14.03,6.95,9.9,5.44,10.48,11.51,14.16,8.72,14.97,10.2,10.85,-6.65,10.9,-4.46,6.77,-5.52,9.98,-4.02,15.79,-3.47
228,7.6,9.04,-8.76,13.39,6.22,13.9,6.93,10.02,5.9,10.47,11.62,14.15,8.71,14.96,10.16,10.89,-6.68,10.96,-4.46,6.72,-5.48,10.04,-4.07,15.76,-3.46
229,7.633333333,8.84,-8.79,13.46,6.06,13.9,6.85,10.26,6.19,10.45,11.66,14.04,8.69,14.94,10.11,10.9,-6.73,11.02,-4.49,6.74,-5.43,9.99,-4.05,15.7,-3.45
230,7.666666667,8.74,-8.57,13.55,5.93,13.99,6.85,10.46,6.5,10.48,11.65,13.98,8.66,14.88,10.08,10.89,-6.76,11.02,-4.51,6.73,-5.47,9.92,-4.02,15.7,-3.39
231,7.7,8.75,-8.51,13.59,5.76,14.13,6.97,10.49,6.75,10.66,11.54,13.96,8.58,14.86,10.08,10.89,-6.73,11.01,-4.51,6.73,-5.48,9.89,-3.96,15.71,-3.32
232,7.733333333,8.79,-8.42,13.62,5.6,14.32,7.08,10.52,6.71,10.84,11.43,13.98,8.58,14.93,10.07,10.91,-6.72,11.04,-4.53,6.76,-5.5,9.87,-3.94,15.7,-3.3
233,7.766666667,8.82,-8.39,13.46,5.58,14.5,7.12,10.57,6.77,10.9,11.38,13.98,8.67,14.98,10.07,10.89,-6.74,11.06,-4.54,6.74,-5.49,9.93,-3.92,15.69,-3.27
234,7.8,8.76,-8.5,13.35,5.61,14.57,7.05,10.7,6.71,10.81,11.32,14,8.72,14.98,10.06,10.86,-6.8,11.07,-4.57,6.73,-5.47,9.96,-3.95,15.68,-3.29
235,7.833333333,8.8,-8.35,13.51,5.5,14.49,6.99,10.67,6.97,10.53,11.33,14.14,8.72,15.01,10.05,10.83,-6.81,11.05,-4.57,6.78,-5.47,10,-4.03,15.74,-3.34
236,7.866666667,8.5,-8.53,13.59,5.56,14.26,7.03,10.53,6.86,10.32,11.41,14.23,8.68,15.02,10.05,10.82,-6.81,11.05,-4.56,6.75,-5.47,10.04,-4,15.68,-3.41
237,7.9,8.65,-8.44,13.59,5.92,14.07,6.98,10.65,6.82,10,11.62,14.23,8.62,15.05,10.04,10.91,-6.71,11.06,-4.53,6.68,-5.46,10.06,-3.95,15.73,-3.44
238,7.933333333,8.69,-8.4,13.51,5.9,14.01,6.86,10.7,6.88,9.75,11.71,14.11,8.55,15.09,10,11,-6.65,11.06,-4.51,6.62,-5.46,10.07,-3.9,15.71,-3.52
